dataset,split_seed,model,n_test_loci,n_test_instances,best_C,acc,mcc,bal_acc,acc_lo,acc_hi,mcc_lo,mcc_hi,bal_lo,bal_hi,dmcc_vs_majority,dmcc_vs_majority_lo,dmcc_vs_majority_hi,dbal_vs_majority,dbal_vs_majority_lo,dbal_vs_majority_hi,dmcc_vs_ref_base,dmcc_vs_ref_base_lo,dmcc_vs_ref_base_hi,dbal_vs_ref_base,dbal_vs_ref_base_lo,dbal_vs_ref_base_hi
rare,42,LR_pm1,67,2362,0.01,0.5330228619813717,0.40278619027612744,0.3333333333333333,0.44207995951945545,0.6100885333668056,0.32255306046836507,0.4708479256534981,0.3333333333333333,0.3333333333333333,0.40278619027612744,0.32255306046836507,0.4708479256534981,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,42,LR_pm2,67,2362,0.01,0.5330228619813717,0.40278619027612744,0.3333333333333333,0.44207995951945545,0.6100885333668056,0.32255306046836507,0.4708479256534981,0.3333333333333333,0.3333333333333333,0.40278619027612744,0.32255306046836507,0.4708479256534981,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,42,LR_pm5,67,2362,0.01,0.5330228619813717,0.40278619027612744,0.3333333333333333,0.44207995951945545,0.6100885333668056,0.32255306046836507,0.4708479256534981,0.3333333333333333,0.3333333333333333,0.40278619027612744,0.32255306046836507,0.4708479256534981,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,42,LR_pm10,67,2362,0.01,0.5275190516511431,0.3931655494299704,0.3280871670702179,0.43915557438943204,0.6055078049604323,0.31377678313067914,0.4628240174339691,0.3127581199332669,0.3333333333333333,0.3931655494299704,0.31377678313067914,0.4628240174339691,0.16142050040355124,0.14609145326660025,0.16666666666666666,-0.009620640846157047,-0.034381565050957755,0.0,-0.005246166263115415,-0.02057521340006641,0.0
rare,43,majority,67,2520,,0.3611111111111111,0.0,0.16666666666666666,0.2502621935085451,0.48139073670679267,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.4340802176003677,-0.5302889652823272,-0.3382818410649734,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
rare,43,ref_base,67,2520,,0.5630952380952381,0.4340802176003677,0.3333333333333333,0.45690361903844745,0.6685788820938289,0.3382818410649734,0.5302889652823272,0.3333333333333333,0.3333333333333333,0.4340802176003677,0.3382818410649734,0.5302889652823272,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,43,LR_pm1,67,2520,0.01,0.5630952380952381,0.4340802176003677,0.3333333333333333,0.45690361903844745,0.6685788820938289,0.3382818410649734,0.5302889652823272,0.3333333333333333,0.3333333333333333,0.4340802176003677,0.3382818410649734,0.5302889652823272,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,43,LR_pm2,67,2520,0.01,0.5630952380952381,0.4340802176003677,0.3333333333333333,0.45690361903844745,0.6685788820938289,0.3382818410649734,0.5302889652823272,0.3333333333333333,0.3333333333333333,0.4340802176003677,0.3382818410649734,0.5302889652823272,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,43,LR_pm5,67,2520,0.01,0.5464285714285714,0.40538622217503634,0.31958087753765557,0.4369403048052918,0.6518612031620211,0.3018946281595019,0.5070699615077079,0.2888888888888889,0.3333333333333333,0.40538622217503634,0.3018946281595019,0.5070699615077079,0.15291421087098891,0.12222222222222226,0.16666666666666666,-0.028693995425331353,-0.09492440738394342,0.0,-0.013752455795677743,-0.0444444444444444,0.0
rare,43,LR_pm10,67,2520,0.01,0.5178571428571429,0.3566164876615402,0.2960052390307793,0.4111285566955786,0.6273203813223099,0.2470480834563966,0.4654978574344002,0.24682084104991198,0.3333333333333333,0.3566164876615402,0.2470480834563966,0.4654978574344002,0.12933857236411264,0.08015417438324532,0.16666666666666666,-0.0774637299388275,-0.19515534854421301,0.0,-0.037328094302554016,-0.08651249228342134,0.0
rare,44,majority,67,2266,,0.42806707855251547,0.0,0.16666666666666666,0.31882088571774236,0.5456714137073903,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.4380054912718151,-0.5381431249999432,-0.3361858108003944,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
rare,44,ref_base,67,2266,,0.5939982347749339,0.4380054912718151,0.3333333333333333,0.4983832521450073,0.6968750288937173,0.3361858108003944,0.5381431249999432,0.3333333333333333,0.3333333333333333,0.4380054912718151,0.3361858108003944,0.5381431249999432,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,44,LR_pm1,67,2266,0.01,0.5939982347749339,0.4380054912718151,0.3333333333333333,0.4983832521450073,0.6968750288937173,0.3361858108003944,0.5381431249999432,0.3333333333333333,0.3333333333333333,0.4380054912718151,0.3361858108003944,0.5381431249999432,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,44,LR_pm2,67,2266,0.01,0.5939982347749339,0.4380054912718151,0.3333333333333333,0.4983832521450073,0.6968750288937173,0.3361858108003944,0.5381431249999432,0.3333333333333333,0.3333333333333333,0.4380054912718151,0.3361858108003944,0.5381431249999432,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,44,LR_pm5,67,2266,0.01,0.5939982347749339,0.4380054912718151,0.3333333333333333,0.4983832521450073,0.6968750288937173,0.3361858108003944,0.5381431249999432,0.3333333333333333,0.3333333333333333,0.4380054912718151,0.3361858108003944,0.5381431249999432,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,44,LR_pm10,67,2266,0.01,0.5939982347749339,0.43719429580397784,0.3333333333333333,0.4983832521450073,0.6968750288937173,0.3322755003908418,0.5381431249999432,0.3333333333333333,0.3333333333333333,0.43719429580397784,0.3322755003908418,0.5381431249999432,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.0008111954678372557,-0.007583860210499086,0.0023102751133329056,0.0,0.0,0.0
rare,45,majority,67,2349,,0.35206470838654746,0.0,0.16666666666666666,0.2362934158509036,0.46243087697692004,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.40434481308567616,-0.4933113001469834,-0.3176171615663886,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
